Team,Conference
boston college,ACC
clemson,ACC
duke,ACC
florida state,ACC
georgia tech,ACC
louisville,ACC
miami,ACC
north carolina state,ACC
north carolina,ACC
pittsburgh,ACC
syracuse,ACC
virginia,ACC
virginia tech,ACC
wake forest,ACC
baylor,Big 12
iowa state,Big 12
kansas,Big 12
kansas state,Big 12
oklahoma,Big 12
oklahoma state,Big 12
tcu,Big 12
texas,Big 12
texas tech,Big 12
west virginia,Big 12
illinois,Big Ten
indiana,Big Ten
iowa,Big Ten
maryland,Big Ten
michigan state,Big Ten
michigan,Big Ten
minnesota,Big Ten
nebraska,Big Ten
northwestern,Big Ten
ohio state,Big Ten
penn state,Big Ten
purdue,Big Ten
rutgers,Big Ten
wisconsin,Big Ten
arizona state,Pacific-12
arizona,Pacific-12
california,Pacific-12
colorado,Pacific-12
oregon,Pacific-12
oregon state,Pacific-12
stanford,Pacific-12
ucla,Pacific-12
usc,Pacific-12
utah,Pacific-12
washington,Pacific-12
washington state,Pacific-12
alabama,SEC
arkansas,SEC
auburn,SEC
florida,SEC
georgia,SEC
kentucky,SEC
lsu,SEC
mississippi state,SEC
missouri,SEC
ole miss,SEC
south carolina,SEC
tennessee,SEC
texas am,SEC
vanderbilt,SEC
cincinnati,American Athletic
east carolina,American Athletic
houston,American Athletic
memphis,American Athletic
navy,American Athletic
smu,American Athletic
south florida,American Athletic
temple,American Athletic
tulane,American Athletic
tulsa,American Athletic
central florida,American Athletic
charlotte,Conference USA
florida international,Conference USA
florida atlantic,Conference USA
louisiana tech,Conference USA
marshall,Conference USA
middle tennessee state,Conference USA
north texas,Conference USA
old dominion,Conference USA
rice,Conference USA
southern mississippi,Conference USA
alabama birmingham,Conference USA
utep,Conference USA
utsa,Conference USA
western kentucky,Conference USA
army,FBS Independents
byu,FBS Independents
uconn,FBS Independents
liberty,FBS Independents
new mexico state,FBS Independents
notre dame,FBS Independents
massachusetts,FBS Independents
akron,Mid-American
ball state,Mid-American
bowling green,Mid-American
buffalo,Mid-American
central michigan,Mid-American
eastern michigan,Mid-American
kent state,Mid-American
miami ohio,Mid-American
northern illinois,Mid-American
ohio,Mid-American
toledo,Mid-American
western michigan,Mid-American
air force,Mountain West
boise state,Mountain West
colorado state,Mountain West
fresno state,Mountain West
hawaii,Mountain West
nevada,Mountain West
new mexico,Mountain West
san diego state,Mountain West
san jose state,Mountain West
unlv,Mountain West
utah state,Mountain West
wyoming,Mountain West
appalachian state,Sun Belt
arkansas state,Sun Belt
coastal carolina,Sun Belt
georgia southern,Sun Belt
georgia state,Sun Belt
louisiana,Sun Belt
louisiana monroe,Sun Belt
south alabama,Sun Belt
texas state,Sun Belt
troy,Sun Belt
cal poly,Big Sky
eastern washington,Big Sky
idaho state,Big Sky
idaho,Big Sky
montana,Big Sky
montana state,Big Sky
northern arizona,Big Sky
northern colorado,Big Sky
portland state,Big Sky
sacramento state,Big Sky
southern utah,Big Sky
uc davis,Big Sky
weber state,Big Sky
charleston southern,Big South
gardner webb,Big South
kennesaw state,Big South
monmouth,Big South
presbyterian,Big South
albany,CAA
delaware,CAA
elon,CAA
james madison,CAA
maine,CAA
new hampshire,CAA
rhode island,CAA
richmond,CAA
stony brook,CAA
towson,CAA
villanova,CAA
wm,CAA
brown,Ivy
columbia,Ivy
cornell,Ivy
dartmouth,Ivy
harvard,Ivy
pennsylvania,Ivy
princeton,Ivy
yale,Ivy
bethune cookman,MEAC
delaware state,MEAC
famu,MEAC
hampton,MEAC
howard,MEAC
morgan state,MEAC
norfolk state,MEAC
ncat,MEAC
nccu,MEAC
savannah state,MEAC
south carolina state,MEAC
illinois state,Missouri Valley
indiana state,Missouri Valley
missouri state,Missouri Valley
north dakota,Missouri Valley
north dakota state,Missouri Valley
northern iowa,Missouri Valley
south dakota,Missouri Valley
south dakota state,Missouri Valley
southern illinois,Missouri Valley
western illinois,Missouri Valley
youngstown state,Missouri Valley
bryant,Northeast
ccsu,Northeast
duquesne,Northeast
robert morris,Northeast
sacred heart,Northeast
saint francis,Northeast
wagner,Northeast
austin peay,Ohio Valley
eastern illinois,Ohio Valley
eastern kentucky,Ohio Valley
jacksonville state,Ohio Valley
murray state,Ohio Valley
semo,Ohio Valley
tennessee state,Ohio Valley
tennessee tech,Ohio Valley
tennessee martin,Ohio Valley
bucknell,Patriot League
colgate,Patriot League
fordham,Patriot League
georgetown,Patriot League
holy cross,Patriot League
lafayette,Patriot League
lehigh,Patriot League
butler,Pioneer
campbell,Pioneer
davidson,Pioneer
dayton,Pioneer
drake,Pioneer
jacksonville,Pioneer
marist,Pioneer
morehead state,Pioneer
san diego,Pioneer
stetson,Pioneer
valparaiso,Pioneer
chattanooga,Southern
etsu,Southern
furman,Southern
mercer,Southern
samford,Southern
citadel,Southern
vmi,Southern
western carolina,Southern
wofford,Southern
central arkansas,Southland
houston baptist,Southland
uiw,Southland
lamar,Southland
mcneese state,Southland
nicholls state,Southland
northwestern state,Southland
sam houston state,Southland
southeastern louisiana,Southland
sfasu,Southland
aamu,SWAC
alabama state,SWAC
alcorn state,SWAC
arkansas pine bluff,SWAC
grambling state,SWAC
jackson state,SWAC
mvsu,SWAC
pvamu,SWAC
southern,SWAC
texas southern,SWAC
